year,GDP_current_USD,GDP_constant_2015_USD,GDP_growth_pct,GDP_per_capita_current_USD,Population_total,GDP_current_billion_USD,GDP_constant_2015_billion_USD
2014,2039126479154.52,1947834564908.95,7.41022760508854,1553.88396075118,1312277191,2039.12647915452,1947.83456490895
2015,2103588360044.94,2103588360044.94,7.99625378571471,1583.99815907985,1328024498,2103.58836004494,2103.58836004494
2016,2294796885663.16,2277267041550.36,8.25630550179086,1707.50892912243,1343944296,2294.79688566316,2277.26704155036
2017,2651474262755.45,2432016068497.75,6.79538341897911,1950.10468280866,1359657400,2651.47426275545,2432.01606849775
2018,2702929641648.74,2588974770244.57,6.45385134497769,1966.25455171679,1374659064,2702.92964164874,2588.9747702445698
2019,2835606256558.19,2689205295885.31,3.87143694070356,2041.42863698585,1389030312,2835.60625655819,2689.20529588531
2020,2674851578587.27,2533830417086.54,-5.77772470686801,1907.04251637669,1402617695,2674.85157858727,2533.83041708654
2021,3167270623260.47,2779348258938.77,9.68959249192875,2239.61384367482,1414203896,3167.27062326047,2779.34825893877
2022,3346107287730.93,2990839011962.46,7.60936497768895,2347.44829434623,1425423212,3346.1072877309302,2990.83901196246
2023,3638489096033.86,3265719695911.24,9.19075493028345,2530.12031278204,1438069596,3638.48909603386,3265.7196959112403
2024,3912686168582.21,3477476264134.11,6.48422363033757,2696.66389984463,1450935791,3912.68616858221,3477.47626413411
